Key,EN,CN,FR,EN 적용체크,CN 적용체크,FR 적용체크
<color=#FFCC00>C</color> 키를 눌러 <color=#FFCC00>스탯 창</color>을 열어보세요.,Press <color=#FFCC00>C</color> to open the <color=#FFCC00>Stats window</color>.,按<color=#FFCC00>C</color>键打开<color=#FFCC00>属性窗口</color>。,Appuyez sur <color=#FFCC00>C</color> pour ouvrir la <color=#FFCC00>fenêtre de statistiques</color>.,,,
"<color=#FFCC00>스태미나</color>입니다. <color=#FFCC00>달리기</color>나 <color=#FFCC00>대시</color>를 쓰면 줄고, <color=#FFCC00>멈추거나 걸으면</color> 다시 찹니다. 바닥나면 잠시 달리기나 대시를 쓸 수 없어요.","This is your <color=#FFCC00>stamina</color>. It drains when you <color=#FFCC00>sprint</color> or <color=#FFCC00>dash</color> and refills when you <color=#FFCC00>stop or walk</color>. If it empties, you briefly cannot sprint or dash.",这是<color=#FFCC00>耐力</color>。<color=#FFCC00>奔跑</color>或<color=#FFCC00>冲刺</color>会消耗，<color=#FFCC00>停下或行走</color>时恢复。耗尽后短时间内无法奔跑或冲刺。,"Voici votre <color=#FFCC00>endurance</color>. Elle baisse quand vous <color=#FFCC00>courez</color> ou <color=#FFCC00>dashez</color> et remonte quand vous <color=#FFCC00>marchez ou vous arrêtez</color>. À zéro, sprint et dash sont brièvement indisponibles.",,,
"여기서 <color=#FFCC00>최대 시간</color>·<color=#FFCC00>스태미나</color>·<color=#FFCC00>공격력</color>·<color=#FFCC00>방어력</color>을 확인합니다. <color=#FFCC00>코어 강화</color>로 최대 시간을, <color=#FFCC00>앰플 제작</color>으로 나머지 스탯을 올릴 수 있어요. <color=#FFCC00>C</color>로 언제든 여닫을 수 있습니다.","Here you check <color=#FFCC00>max time</color>, <color=#FFCC00>stamina</color>, <color=#FFCC00>attack</color> and <color=#FFCC00>defense</color>. Raise max time with <color=#FFCC00>Core Upgrades</color> and the rest with <color=#FFCC00>crafted ampoules</color>. Toggle anytime with <color=#FFCC00>C</color>.",在这里确认<color=#FFCC00>最大时间</color>、<color=#FFCC00>耐力</color>、<color=#FFCC00>攻击力</color>、<color=#FFCC00>防御力</color>。<color=#FFCC00>核心强化</color>提升最大时间，<color=#FFCC00>制作安瓿</color>提升其余属性。随时可用<color=#FFCC00>C</color>开关。,"Consultez ici <color=#FFCC00>temps maximal</color>, <color=#FFCC00>endurance</color>, <color=#FFCC00>attaque</color> et <color=#FFCC00>défense</color>. Augmentez le temps maximal via l'<color=#FFCC00>amélioration du noyau</color>, le reste via la <color=#FFCC00>fabrication d'ampoules</color>. Ouvrez/fermez à tout moment avec <color=#FFCC00>C</color>.",,,
우상단 메뉴 - <color=#FFCC00>K</color>: 도감 / <color=#FFCC00>TAB</color>: 인벤토리 / <color=#FFCC00>B</color>: 건설 모드 / <color=#FFCC00>ESC</color>: 설정.,Top-right menu - <color=#FFCC00>K</color>: Codex / <color=#FFCC00>TAB</color>: Inventory / <color=#FFCC00>B</color>: Build Mode / <color=#FFCC00>ESC</color>: Settings.,右上菜单 - <color=#FFCC00>K</color>：图鉴 / <color=#FFCC00>TAB</color>：背包 / <color=#FFCC00>B</color>：建造模式 / <color=#FFCC00>ESC</color>：设置。,Menu en haut à droite - <color=#FFCC00>K</color> : encyclopédie / <color=#FFCC00>TAB</color> : inventaire / <color=#FFCC00>B</color> : construction / <color=#FFCC00>ESC</color> : options.,,,
"우하단 <color=#FFCC00>스킬</color> 3개 - <color=#FFCC00>Q·E·R</color>로 사용하고, 쓰고 나면 <color=#FFCC00>쿨타임</color>이 끝나야 다시 쓸 수 있어요.",Bottom-right: 3 <color=#FFCC00>skills</color> - use them with <color=#FFCC00>Q·E·R</color>; each must finish its <color=#FFCC00>cooldown</color> before you can use it again.,右下角有3个<color=#FFCC00>技能</color> - 用<color=#FFCC00>Q·E·R</color>使用，使用后需等<color=#FFCC00>冷却</color>结束才能再次使用。,"En bas à droite, 3 <color=#FFCC00>compétences</color> - utilisez-les avec <color=#FFCC00>Q·E·R</color> ; attendez la fin du <color=#FFCC00>temps de recharge</color> avant de les réutiliser.",,,
이 게임은 <color=#FFCC00>체력</color>이 곧 <color=#FFCC00>시간</color>입니다. 시간이 <color=#FFCC00>0</color>이 되면 사망합니다.,"In this game, <color=#FFCC00>HP</color> is <color=#FFCC00>time</color>. When your time hits <color=#FFCC00>0</color>, you die.",在这个游戏中，<color=#FFCC00>体力</color>即<color=#FFCC00>时间</color>。时间归<color=#FFCC00>0</color>即死亡。,"Dans ce jeu, vos <color=#FFCC00>PV</color> sont du <color=#FFCC00>temps</color>. Quand le temps tombe à <color=#FFCC00>0</color>, vous mourez.",,,
<color=#FFCC00>Tab</color>으로 <color=#FFCC00>인벤토리</color>를 확인하세요.,Press <color=#FFCC00>Tab</color> to check your <color=#FFCC00>inventory</color>.,按<color=#FFCC00>Tab</color>查看<color=#FFCC00>背包</color>。,Appuyez sur <color=#FFCC00>Tab</color> pour ouvrir l'<color=#FFCC00>inventaire</color>.,,,
<color=#FFCC00>언데드</color>를 잡아 <color=#FFCC00>부식액</color>을 <color=#FFCC00>2개</color> <color=#FFCC00>획득</color>하세요.,Kill <color=#FFCC00>Undead</color> to <color=#FFCC00>collect</color> <color=#FFCC00>2</color> <color=#FFCC00>Corrosive Fluid</color>.,击杀<color=#FFCC00>亡灵</color>，<color=#FFCC00>获取</color><color=#FFCC00>2个</color><color=#FFCC00>腐蚀液</color>。,Tuez des <color=#FFCC00>morts-vivants</color> pour <color=#FFCC00>obtenir</color> <color=#FFCC00>2</color> <color=#FFCC00>liquides corrosifs</color>.,,,
<color=#FFCC00>오크 트리</color>를 잡아 <color=#FFCC00>나뭇가지</color>를 <color=#FFCC00>2개</color> <color=#FFCC00>획득</color>하세요.,Kill <color=#FFCC00>Oak Trees</color> to <color=#FFCC00>collect</color> <color=#FFCC00>2</color> <color=#FFCC00>Twigs</color>.,击杀<color=#FFCC00>橡树怪</color>，<color=#FFCC00>获取</color><color=#FFCC00>2个</color><color=#FFCC00>树枝</color>。,Abattez des <color=#FFCC00>arbres-orcs</color> pour <color=#FFCC00>obtenir</color> <color=#FFCC00>2</color> <color=#FFCC00>brindilles</color>.,,,
<color=#FFCC00>거미</color>를 잡아 <color=#FFCC00>거미 독액</color>을 <color=#FFCC00>2개</color> <color=#FFCC00>획득</color>하세요.,Kill <color=#FFCC00>Spiders</color> to <color=#FFCC00>collect</color> <color=#FFCC00>2</color> <color=#FFCC00>Spider Venom</color>.,击杀<color=#FFCC00>蜘蛛</color>，<color=#FFCC00>获取</color><color=#FFCC00>2个</color><color=#FFCC00>蜘蛛毒液</color>。,Tuez des <color=#FFCC00>araignées</color> pour <color=#FFCC00>obtenir</color> <color=#FFCC00>2</color> <color=#FFCC00>venins d'araignée</color>.,,,
<color=#FFCC00>가방</color>이 가득 차면 아이템이 <color=#FFCC00>창고</color>로 자동 보관됩니다. 창고를 열어 필요한 아이템을 <color=#FFCC00>꺼내 쓸 수 있어요</color>.,"When your <color=#FFCC00>bag</color> is full, items are stored in <color=#FFCC00>Storage</color> automatically. Open Storage to <color=#FFCC00>take out</color> what you need.",<color=#FFCC00>背包</color>满时物品会自动存入<color=#FFCC00>仓库</color>。打开仓库即可<color=#FFCC00>取出使用</color>所需物品。,"Quand le <color=#FFCC00>sac</color> est plein, les objets vont automatiquement à l'<color=#FFCC00>entrepôt</color>. Ouvrez-le pour <color=#FFCC00>reprendre</color> ce qu'il vous faut.",,,
기다리지 않고 <color=#FFCC00>G</color>를 눌러 상자를 <color=#FFCC00>즉시</color> 열 수도 있습니다.,"You can also press <color=#FFCC00>G</color> to open a chest <color=#FFCC00>instantly</color>, without waiting.",也可以按<color=#FFCC00>G</color><color=#FFCC00>立即</color>打开箱子，无需等待。,"Vous pouvez aussi appuyer sur <color=#FFCC00>G</color> pour ouvrir un coffre <color=#FFCC00>instantanément</color>, sans attendre.",,,
맵에서 발견한 <color=#FFCC00>상자</color>는 <color=#FFCC00>F</color>로 엽니다. <color=#FFCC00>등급 높은</color> 아이템이 들어 있어요.,Open <color=#FFCC00>chests</color> found on the map with <color=#FFCC00>F</color>. They hold <color=#FFCC00>higher-grade</color> items.,地图上发现的<color=#FFCC00>箱子</color>按<color=#FFCC00>F</color>打开，里面有<color=#FFCC00>高品质</color>物品。,Ouvrez les <color=#FFCC00>coffres</color> trouvés sur la carte avec <color=#FFCC00>F</color>. Ils contiennent des objets de <color=#FFCC00>haute qualité</color>.,,,
<color=#FFCC00>F</color>로 <color=#FFCC00>코어 강화 단말</color>을 여세요.,Press <color=#FFCC00>F</color> to open the <color=#FFCC00>Core Upgrade Terminal</color>.,按<color=#FFCC00>F</color>打开<color=#FFCC00>核心强化终端</color>。,Appuyez sur <color=#FFCC00>F</color> pour ouvrir le <color=#FFCC00>terminal d'amélioration du noyau</color>.,,,
<color=#FFCC00>생체 배양기</color>를 <color=#FFCC00>설치</color>하세요.,<color=#FFCC00>Install</color> the <color=#FFCC00>Bio Incubator</color>.,<color=#FFCC00>安装</color><color=#FFCC00>生物培养器</color>。,<color=#FFCC00>Installez</color> l'<color=#FFCC00>incubateur biologique</color>.,,,
<color=#FFCC00>생체 추출기</color>를 <color=#FFCC00>설치</color>하세요.,<color=#FFCC00>Install</color> the <color=#FFCC00>Bio Extractor</color>.,<color=#FFCC00>安装</color><color=#FFCC00>生物提取器</color>。,<color=#FFCC00>Installez</color> l'<color=#FFCC00>extracteur biologique</color>.,,,
인벤토리에서 <color=#FFCC00>회복 앰플</color>을 <color=#FFCC00>우클릭 -> 퀵슬롯 등록</color>으로 <color=#FFCC00>V 슬롯</color>에 등록하세요.,"In the inventory, use <color=#FFCC00>Right-click -> Register to Quick Slot</color> on the <color=#FFCC00>Healing Ampoule</color> to bind it to the <color=#FFCC00>V slot</color>.",在背包中对<color=#FFCC00>恢复安瓿</color>使用<color=#FFCC00>右键 -> 注册快捷栏</color>，登记到<color=#FFCC00>V槽</color>。,"Dans l'inventaire, faites <color=#FFCC00>clic droit -> Assigner</color> sur l'<color=#FFCC00>ampoule de soin</color> pour la placer dans l'<color=#FFCC00>emplacement V</color>.",,,
<color=#FFCC00>V</color>를 눌러 등록한 소모품을 <color=#FFCC00>사용</color>해보세요.,Press <color=#FFCC00>V</color> to <color=#FFCC00>use</color> the registered consumable.,按<color=#FFCC00>V</color><color=#FFCC00>使用</color>已登记的消耗品。,Appuyez sur <color=#FFCC00>V</color> pour <color=#FFCC00>utiliser</color> le consommable assigné.,,,
<color=#FFCC00>생체 추출기</color>를 <color=#FFCC00>생체 배양기</color>에 <color=#FFCC00>레일</color>로 이어보세요.,Connect the <color=#FFCC00>Bio Extractor</color> to the <color=#FFCC00>Bio Incubator</color> with a <color=#FFCC00>rail</color>.,用<color=#FFCC00>轨道</color>把<color=#FFCC00>生物提取器</color>连接到<color=#FFCC00>生物培养器</color>。,Reliez l'<color=#FFCC00>extracteur biologique</color> à l'<color=#FFCC00>incubateur biologique</color> par un <color=#FFCC00>rail</color>.,,,
"<color=#FFCC00>생체 추출기</color>에 재료를 넣고, 결과물이 <color=#FFCC00>레일</color>을 타고 <color=#FFCC00>생체 배양기</color>로 <color=#FFCC00>자동으로 넘어가는지</color> 확인하세요.",Put materials into the <color=#FFCC00>Bio Extractor</color> and check that the output rides the <color=#FFCC00>rail</color> to the <color=#FFCC00>Bio Incubator</color> <color=#FFCC00>automatically</color>.,向<color=#FFCC00>生物提取器</color>放入材料，确认产物沿<color=#FFCC00>轨道</color><color=#FFCC00>自动</color>送往<color=#FFCC00>生物培养器</color>。,Mettez des matériaux dans l'<color=#FFCC00>extracteur biologique</color> et vérifiez que la production rejoint <color=#FFCC00>automatiquement</color> l'<color=#FFCC00>incubateur biologique</color> par le <color=#FFCC00>rail</color>.,,,
"<color=#FFCC00>건설 모드(B)</color>에서 <color=#FFCC00>레일(E)</color>을 고른 뒤, 설비의 <color=#FFCC00>출구(E 표시)</color>를 클릭해 다음 설비까지 이어 주세요.","In <color=#FFCC00>Build Mode (B)</color>, select <color=#FFCC00>Rail (E)</color>, then click a facility's <color=#FFCC00>exit (marked E)</color> and extend the rail to the next facility.",在<color=#FFCC00>建造模式(B)</color>选择<color=#FFCC00>轨道(E)</color>，点击设施的<color=#FFCC00>出口(E标记)</color>连接到下一个设施。,"En <color=#FFCC00>mode construction (B)</color>, choisissez <color=#FFCC00>Rail (E)</color>, cliquez sur la <color=#FFCC00>sortie (marquée E)</color> d'une installation et prolongez jusqu'à la suivante.",,,
레일 자동화 안내를 확인하세요.,Check the rail automation guide.,确认轨道自动化指南。,Consultez le guide d'automatisation du rail.,,,
"이제 <color=#FFCC00>자동화</color>를 배워봅시다. 설비를 <color=#FFCC00>레일</color>로 이으면, 아이템이 <color=#FFCC00>자동으로</color> 다음 설비로 이동해 <color=#FFCC00>직접 회수</color>할 필요가 없어집니다. (레일은 <color=#FFCC00>건설 모드(B)</color>에서 깝니다)",Time to learn <color=#FFCC00>automation</color>. Link facilities with <color=#FFCC00>rails</color> and items move to the next facility <color=#FFCC00>automatically</color> - no more <color=#FFCC00>collecting by hand</color>. (Rails are placed in <color=#FFCC00>Build Mode (B)</color>),现在来学习<color=#FFCC00>自动化</color>。用<color=#FFCC00>轨道</color>连接设施后，物品会<color=#FFCC00>自动</color>送往下一个设施，无需<color=#FFCC00>手动回收</color>。（轨道在<color=#FFCC00>建造模式(B)</color>铺设）,"Passons à l'<color=#FFCC00>automatisation</color>. Reliez les installations par des <color=#FFCC00>rails</color> : les objets passent <color=#FFCC00>automatiquement</color> à la suivante, plus besoin de <color=#FFCC00>récupérer à la main</color>. (Les rails se posent en <color=#FFCC00>mode construction (B)</color>)",,,
충전 키트를 전송해 전송률 <color=#FFCC00>25%</color>를 달성하세요.,Transmit charge kits to reach <color=#FFCC00>25%</color> transmission.,传送充电套件，使传送率达到<color=#FFCC00>25%</color>。,Transmettez des kits de recharge pour atteindre <color=#FFCC00>25 %</color> de transmission.,,,
<color=#FFCC00>코어 강화 단말</color>이 있는 곳으로 <color=#FFCC00>이동</color>하세요.,<color=#FFCC00>Move</color> to the <color=#FFCC00>Core Upgrade Terminal</color>.,<color=#FFCC00>前往</color><color=#FFCC00>核心强化终端</color>所在处。,<color=#FFCC00>Rendez-vous</color> au <color=#FFCC00>terminal d'amélioration du noyau</color>.,,,
기지의 <color=#FFCC00>시간에너지 전송기</color>로 <color=#FFCC00>이동</color>하세요.,<color=#FFCC00>Move</color> to the base's <color=#FFCC00>Time Energy Transmitter</color>.,<color=#FFCC00>前往</color>基地的<color=#FFCC00>时间能量传送器</color>。,<color=#FFCC00>Rejoignez</color> le <color=#FFCC00>transmetteur d'énergie temporelle</color> de la base.,,,
시간에너지 전송 안내를 확인하세요.,Check the time energy transmission guide.,确认时间能量传送指南。,Consultez le guide de transmission d'énergie temporelle.,,,
<color=#FFCC00>초급 회복 앰플</color>을 <color=#FFCC00>사용</color>해 시간을 회복하세요.,<color=#FFCC00>Use</color> the <color=#FFCC00>Minor Healing Ampoule</color> to restore time.,<color=#FFCC00>使用</color><color=#FFCC00>初级恢复安瓿</color>恢复时间。,<color=#FFCC00>Utilisez</color> l'<color=#FFCC00>ampoule de soin mineure</color> pour récupérer du temps.,,,
귀환석 Lv.1,Return Stone Lv.1,回归石 Lv.1,Pierre de retour Niv. 1,,,
귀환석 Lv.1(쿨타임 15분)을 획득했습니다.,Obtained Return Stone Lv.1 (15 min cooldown).,获得回归石 Lv.1（冷却15分钟）。,Pierre de retour Niv. 1 obtenue (temps de recharge : 15 min).,,,
귀환석 Lv.3,Return Stone Lv.3,回归石 Lv.3,Pierre de retour Niv. 3,,,
귀환석 Lv.3(쿨타임 5분)로 강화되었습니다.,Upgraded to Return Stone Lv.3 (5 min cooldown).,已强化为回归石 Lv.3（冷却5分钟）。,Amélioré en Pierre de retour Niv. 3 (temps de recharge : 5 min).,,,
앰플 꾸러미 / 코어 키트 V,Ampoule Bundle / Core Kit V,安瓿包 / 核心套件 V,Lot d'ampoules / Kit de noyau V,,,
앰플 꾸러미(대량)와 코어 키트 V x5를 받았습니다.,Received a large Ampoule Bundle and 5 Core Kit V.,获得大量安瓿包与核心套件 V x5。,Vous avez reçu un grand lot d'ampoules et 5 Kits de noyau V.,,,
이제 충전 키트를 직접 제작할 수 있습니다.,You can now craft Charge Kits yourself.,现在可以自行制作充能套件。,Vous pouvez désormais fabriquer vos propres Kits de recharge.,,,
전송 보상을 획득했습니다.,Transmission reward received.,已获得传送奖励。,Récompense de transmission obtenue.,,,
창고 출력 포트 건설 수가 {0} 늘어났습니다.,Warehouse output port limit increased by {0}.,仓库输出端口建造数量增加 {0}。,Le nombre de ports de sortie de l'entrepôt augmente de {0}.,,,
창고 출력 포트 상한 +{0},Output Port Limit +{0},输出端口上限 +{0},Limite de ports de sortie +{0},,,
가공재,Processed Materials,加工材料,Matériaux transformés,,,
개수 분할,Split Stack,分割数量,Diviser la pile,,,
남은 시간,Time Left,剩余时间,Temps restant,,,
내림차순,Descending,降序,Décroissant,,,
모든 아이템을 잊어버렸다,You lost all your items,失去了所有物品,Vous avez perdu tous vos objets,,,
받기,Claim,领取,Récupérer,,,
보관소,Storage,保管库,Entrepôt,,,
본부 관제,HQ Control,总部管制,Contrôle du QG,,,
부활하기,Revive,复活,Ressusciter,,,
설원 구간,Snowfield Zone,雪原区域,Zone enneigée,,,
소모품,Consumables,消耗品,Consommables,,,
아이템을 버리시겠습니까?,Discard this item?,要丢弃该物品吗？,Jeter cet objet ?,,,
이 게임은 아직 개발중인 게임입니다.,This game is still in development.,本游戏仍在开发中。,Ce jeu est encore en développement.,,,
전부 꺼내기,Take All,全部取出,Tout retirer,,,
전부 보관,Store All,全部存入,Tout ranger,,,
창고 출력,Storage Output,仓库输出,Sortie de l'entrepôt,,,
추출 품목,Extraction Item,提取物品,Objet à extraire,,,
카이로스 관제예요. 살아있군요! 다행이에요.,This is Kairos Control. You're alive! What a relief.,这里是凯洛斯管制。你还活着！太好了。,Ici le contrôle Kairos. Vous êtes en vie ! Quel soulagement.,,,
카테고리,Category,分类,Catégorie,,,
코어 키트,Core Kit,核心套件,Kit de noyau,,,
필요: 코어 키트,Required: Core Kit,需要：核心套件,Requis : Kit de noyau,,,
획득,Obtained,获得,Obtenu,,,
해상도,Resolution,分辨率,Résolution,,,
표시 모드,Display Mode,显示模式,Mode d'affichage,,,
화면 품질,Graphics Quality,画面质量,Qualité graphique,,,
그림자 품질,Shadow Quality,阴影质量,Qualité des ombres,,,
텍스처 품질,Texture Quality,纹理质量,Qualité des textures,,,
성능 및 화면,Performance and Display,性能与画面,Performances et affichage,,,
오디오 설정,Audio Settings,音频设置,Paramètres audio,,,
마스터 볼륨,Master Volume,主音量,Volume principal,,,
배경음(BGM),Music (BGM),背景音乐(BGM),Musique (BGM),,,
효과음(SFX),Sound Effects (SFX),音效(SFX),Effets sonores (SFX),,,
조작 설정,Control Settings,操作设置,Commandes,,,
마우스 감도,Mouse Sensitivity,鼠标灵敏度,Sensibilité de la souris,,,
언어,Language,语言,Langue,,,
언어 설정,Language Settings,语言设置,Paramètres de langue,,,
설정,Settings,设置,Paramètres,,,
설정 적용,Apply Settings,应用设置,Appliquer,,,
설정 초기화,Reset Settings,重置设置,Réinitialiser,,,
기본 공격,Basic Attack,普通攻击,Attaque de base,,,
대시,Dash,冲刺,Dash,,,
점프,Jump,跳跃,Sauter,,,
상호작용,Interact,交互,Interagir,,,
스킬 1,Skill 1,技能 1,Compétence 1,,,
스킬 2,Skill 2,技能 2,Compétence 2,,,
스킬 3,Skill 3,技能 3,Compétence 3,,,
스탯창,Stats Window,属性窗口,Statistiques,,,
퀵슬롯,Quick Slot,快捷栏,Raccourci,,,
분류 - CATEGORY,CATEGORY,,,,,
아이템 - ITEM,ITEM,,,,,
스위치 활성화 필요,Switch Required,,Interrupteur requis,,,
활성화,Activate,,Activer,,,
열쇠 사용,Use Key,,Clé,,,
인벤토리,	Inventory,,Inventaire,,,
한국어,Korean,,Coréen,,,
영어,English,,Anglais,,,
프랑스어,French,,Français,,,
매우 높음,Very High,,Très élevé,,,
높음,High,,Élevé,,,
보통,Normal,,Normal,,,
낮음,Low,,Bas,,,
전체 화면,Fullscreen,,Plein écran,,,
창 모드,Windowed,,Fenêtré,,,
인벤토리,Inventory,,Inventaire,,,
한국어,Korean,,Coréen,,,
영어,English,,Anglais,,,
프랑스어,French,,Français,,,
매우 높음,Very High,,Très élevé,,,
높음,High,,Élevé,,,
보통,Normal,,Normal,,,
낮음,Low,,Bas,,,
전체 화면,Fullscreen,,Plein écran,,,
창 모드,Windowed,,Fenêtré,,,
인벤토리,Inventory,,Inventaire,,,
화산암 파편,Volcanic Rock Shard,火山岩碎片,Éclat de roche volcanique,,,
용암 응결정,Lava Condensate,熔岩凝晶,Condensat de lave,,,
포자 응축액,Spore Concentrate,孢子浓缩液,Concentré de spores,,,
가열 반응 셀,Thermal Reaction Cell,热反应单元,Cellule de réaction thermique,,,
복합 장갑판,Composite Armor Plate,复合装甲板,Plaque de blindage composite,,,
에너지 축전지,Energy Capacitor,能量蓄电池,Condensateur d'énergie,,,
초급 공격력 앰플,Basic Attack Ampoule,初级攻击力安瓿,Ampoule d'attaque mineure,,,
중급 공격력 앰플,Intermediate Attack Ampoule,中级攻击力安瓿,Ampoule d'attaque intermédiaire,,,
고급 공격력 앰플,Advanced Attack Ampoule,高级攻击力安瓿,Ampoule d'attaque majeure,,,
초급 방어력 앰플,Basic Defense Ampoule,初级防御力安瓿,Ampoule de défense mineure,,,
중급 방어력 앰플,Intermediate Defense Ampoule,中级防御力安瓿,Ampoule de défense intermédiaire,,,
고급 방어력 앰플,Advanced Defense Ampoule,高级防御力安瓿,Ampoule de défense majeure,,,
초급 스태미나 앰플,Basic Stamina Ampoule,初级耐力安瓿,Ampoule d'endurance mineure,,,
중급 스태미나 앰플,Intermediate Stamina Ampoule,中级耐力安瓿,Ampoule d'endurance intermédiaire,,,
고급 스태미나 앰플,Advanced Stamina Ampoule,高级耐力安瓿,Ampoule d'endurance majeure,,,
Key,EN,CN,FR,,,
뼛조각,Bone Fragment,骨片,Fragment d'os,,,
강화 골격,Reinforced Frame,强化骨架,Châssis renforcé,,,
지구력 코어,Endurance Core,耐力核心,Noyau d'endurance,,,
과열 촉진액,Superheat Catalyst,过热催化液,Catalyseur de surchauffe,,,
이 앰플로는 {0} {1}까지만 올릴 수 있습니다. 상위 등급 앰플이 필요합니다.,This ampoule can only raise {0} to {1}. A higher grade ampoule is required.,该安瓿只能将{0}提升至{1}。需要更高级的安瓿。,Cette ampoule ne peut augmenter {0} que jusqu'à {1}. Une ampoule de grade supérieur est requise.,,,
{0} 영구 +{1} ({0} {2}까지),{0} permanently +{1} (up to {0} {2}),{0}永久+{1}（最高至{0} {2}）,{0} permanent +{1} (jusqu'à {0} {2}),,,
{0} 영구 +{1} (한계 없음),{0} permanently +{1} (no limit),{0}永久+{1}（无上限）,{0} permanent +{1} (sans limite),,,
